0000000000000000 A irq_stack_union
0000000000000000 A __per_cpu_start
ffffffff810002b8 T _stext
ffffffff81001000 T hypercall_page
ffffffff81001000 T xen_hypercall_set_trap_table
ffffffff81001020 T xen_hypercall_mmu_update
ffffffff81001040 T xen_hypercall_set_gdt
ffffffff81001060 T xen_hypercall_stack_switch
ffffffff81001080 T xen_hypercall_set_callbacks
ffffffff810010a0 T xen_hypercall_fpu_taskswitch
ffffffff810010c0 T xen_hypercall_sched_op_compat
ffffffff810010e0 T xen_hypercall_platform_op
ffffffff81001100 T xen_hypercall_set_debugreg
ffffffff81001120 T xen_hypercall_get_debugreg
ffffffff81001140 T xen_hypercall_update_descriptor
ffffffff81001160 T xen_hypercall_ni
ffffffff81001180 T xen_hypercall_memory_op
ffffffff810011a0 T xen_hypercall_multicall
ffffffff810011c0 T xen_hypercall_update_va_mapping
ffffffff810011e0 T xen_hypercall_set_timer_op
ffffffff81001200 T xen_hypercall_event_channel_op_compat
ffffffff81001220 T xen_hypercall_xen_version
ffffffff81001240 T xen_hypercall_console_io
ffffffff81001260 T xen_hypercall_physdev_op_compat
ffffffff81001280 T xen_hypercall_grant_table_op
ffffffff810012a0 T xen_hypercall_vm_assist
ffffffff810012c0 T xen_hypercall_update_va_mapping_otherdomain
ffffffff810012e0 T xen_hypercall_iret
ffffffff81001300 T xen_hypercall_vcpu_op
ffffffff81001320 T xen_hypercall_set_segment_base
ffffffff81001340 T xen_hypercall_mmuext_op
ffffffff81001360 T xen_hypercall_xsm_op
ffffffff81001380 T xen_hypercall_nmi_op
ffffffff810013a0 T xen_hypercall_sched_op
ffffffff810013c0 T xen_hypercall_callback_op
ffffffff810013e0 T xen_hypercall_xenoprof_op
ffffffff81001400 T xen_hypercall_event_channel_op
ffffffff81001420 T xen_hypercall_physdev_op
ffffffff81001440 T xen_hypercall_hvm_op
ffffffff81001460 T xen_hypercall_sysctl
ffffffff81001480 T xen_hypercall_domctl
ffffffff810014a0 T xen_hypercall_kexec_op
ffffffff810014c0 T xen_hypercall_tmem_op
ffffffff810014e0 T xen_hypercall_rsvr
ffffffff81001620 T xen_hypercall_mca
ffffffff81001640 T xen_hypercall_arch_1
ffffffff81001660 T xen_hypercall_arch_2
ffffffff81001680 T xen_hypercall_arch_3
ffffffff810016a0 T xen_hypercall_arch_4
ffffffff810016c0 T xen_hypercall_arch_5
ffffffff810016e0 T xen_hypercall_arch_6
ffffffff81002000 t run_init_process
ffffffff81002030 t try_to_run_init_process
ffffffff81002070 T do_one_initcall
ffffffff81002230 t match_dev_by_uuid
ffffffff81002270 t rootfs_mount
ffffffff810022b0 T name_to_dev_t
ffffffff81002700 T calibrate_delay
ffffffff81003000 t ack_flush
ffffffff81003010 T kvm_get_kvm
ffffffff81003020 t cmp_memslot
ffffffff81003040 T kvm_disable_largepages
ffffffff81003050 T gfn_to_memslot
ffffffff810030a0 T kvm_is_visible_gfn
ffffffff81003110 t kvm_vcpu_mmap
ffffffff81003130 t kvm_io_bus_sort_cmp
ffffffff81003170 t vm_stat_get
ffffffff810031f0 t vcpu_stat_get
ffffffff810032a0 t perf_trace_kvm_age_page
ffffffff81003390 t ftrace_raw_event_kvm_age_page
ffffffff81003430 t ftrace_raw_output_kvm_userspace_exit
ffffffff810034c0 t ftrace_raw_output_kvm_set_irq
ffffffff81003510 t ftrace_raw_output_kvm_ioapic_set_irq
ffffffff81003610 t ftrace_raw_output_kvm_msi_set_irq
ffffffff810036f0 t ftrace_raw_output_kvm_ack_irq
ffffffff81003760 t ftrace_raw_output_kvm_mmio
ffffffff810037e0 t ftrace_raw_output_kvm_fpu
ffffffff81003840 t ftrace_raw_output_kvm_age_page
ffffffff810038b0 t ftrace_raw_output_kvm_async_get_page_class
ffffffff81003900 t ftrace_raw_output_kvm_async_pf_nopresent_ready
ffffffff81003950 t ftrace_raw_output_kvm_async_pf_completed
ffffffff810039a0 t kvm_read_hva
ffffffff810039a0 t kvm_read_hva_atomic
ffffffff810039b0 t kvm_sched_in
ffffffff810039e0 T vcpu_load
ffffffff81003a70 t kvm_sched_out
ffffffff81003aa0 T vcpu_put
ffffffff81003ad0 T kvm_vcpu_init
ffffffff81003bd0 T kvm_vcpu_uninit
ffffffff81003c00 T kvm_vcpu_block
ffffffff81003cb0 T kvm_vcpu_kick
ffffffff81003d40 t kvm_device_ioctl_attr
ffffffff81003d90 t kvm_device_ioctl
ffffffff81003e00 t kvm_io_bus_get_first_dev
ffffffff81003ef0 t __kvm_io_bus_write
ffffffff81003f90 T kvm_io_bus_write
ffffffff81003fe0 t kvm_reboot
ffffffff81004020 t kvm_vcpu_fault
ffffffff81004120 t kvm_mmu_notifier_change_pte
ffffffff81004190 t kvm_mmu_notifier_test_young
ffffffff810041f0 t kvm_mmu_notifier_release
ffffffff81004230 T kvm_init
ffffffff810044c0 t vcpu_stat_fops_open
ffffffff810044e0 t vm_stat_fops_open
ffffffff81004500 T kvm_exit
ffffffff810045b0 t __gfn_to_hva_many
ffffffff81004610 T gfn_to_hva_memslot
ffffffff81004630 T gfn_to_hva
ffffffff81004690 T kvm_gfn_to_hva_cache_init
ffffffff81004810 T gfn_to_page_many_atomic
ffffffff810048c0 t kvm_mmu_notifier_invalidate_range_end
ffffffff81004910 t hardware_disable_all_nolock
ffffffff81004960 t hardware_enable_nolock
ffffffff810049d0 t kvm_resume
ffffffff81004a20 T kvm_get_dirty_log
ffffffff81004b40 t kvm_vcpu_yield_to.part.36
ffffffff81004bd0 T kvm_vcpu_yield_to
ffffffff81004c00 T kvm_vcpu_on_spin
ffffffff81004e00 t make_all_cpus_request
ffffffff81004ed0 T kvm_flush_remote_tlbs
ffffffff81004f10 t kvm_mmu_notifier_invalidate_range_start
ffffffff81004f90 t kvm_mmu_notifier_invalidate_page
ffffffff81005000 t kvm_mmu_notifier_clear_flush_young
ffffffff81005070 T mark_page_dirty
ffffffff810050e0 T kvm_write_guest_page
ffffffff81005140 T kvm_clear_guest_page
ffffffff81005190 T kvm_clear_guest
ffffffff81005210 t hardware_disable_nolock
ffffffff81005250 t kvm_suspend
ffffffff81005270 t kvm_cpu_hotplug
ffffffff81005300 t ftrace_raw_event_kvm_fpu
ffffffff81005380 t ftrace_raw_event_kvm_async_get_page_class
ffffffff81005400 t ftrace_raw_event_kvm_async_pf_nopresent_ready
ffffffff81005480 t ftrace_raw_event_kvm_async_pf_completed
ffffffff81005500 t ftrace_raw_event_kvm_msi_set_irq
ffffffff81005580 t ftrace_raw_event_kvm_ack_irq
ffffffff81005600 t ftrace_raw_event_kvm_userspace_exit
ffffffff81005680 t ftrace_raw_event_kvm_set_irq
ffffffff81005710 t ftrace_raw_event_kvm_ioapic_set_irq
ffffffff810057a0 t ftrace_raw_event_kvm_mmio
ffffffff81005850 t perf_trace_kvm_fpu
ffffffff81005930 t perf_trace_kvm_userspace_exit
ffffffff81005a20 t perf_trace_kvm_msi_set_irq
ffffffff81005b10 t perf_trace_kvm_ack_irq
ffffffff81005c00 t perf_trace_kvm_async_get_page_class
ffffffff81005cf0 t perf_trace_kvm_async_pf_nopresent_ready
ffffffff81005de0 t perf_trace_kvm_async_pf_completed
ffffffff81005ed0 t perf_trace_kvm_set_irq
ffffffff81005fc0 t perf_trace_kvm_ioapic_set_irq
ffffffff810060b0 t perf_trace_kvm_mmio
ffffffff810061b0 t kvm_vcpu_ioctl
ffffffff81006730 t kvm_vcpu_compat_ioctl
ffffffff81006830 T kvm_is_mmio_pfn
ffffffff81006890 t __gfn_to_pfn_memslot
ffffffff81006c20 t __gfn_to_pfn
ffffffff81006c90 T gfn_to_pfn_atomic
ffffffff81006cb0 T gfn_to_pfn_async
ffffffff81006cd0 T gfn_to_pfn
ffffffff81006cf0 T gfn_to_pfn_prot
ffffffff81006d10 T gfn_to_pfn_memslot_atomic
ffffffff81006d30 T gfn_to_page
ffffffff81006db0 T kvm_release_pfn_clean
ffffffff81006e00 T kvm_release_page_clean
ffffffff81006e50 T kvm_set_pfn_dirty
ffffffff81006e80 T kvm_release_page_dirty
ffffffff81006ed0 T kvm_set_pfn_accessed
ffffffff81006f00 T kvm_get_pfn
ffffffff81006f50 T kvm_reload_remote_mmus
ffffffff81006f60 T kvm_make_mclock_inprogress_request
ffffffff81006f70 T kvm_make_scan_ioapic_request
ffffffff81006f80 T kvm_kvzalloc
ffffffff81006fb0 T kvm_kvfree
ffffffff81006ff0 t kvm_free_physmem_slot
ffffffff81007050 T kvm_put_kvm
ffffffff81007260 t kvm_device_release
ffffffff81007280 t kvm_vcpu_release
ffffffff810072a0 t kvm_vm_release
ffffffff810072d0 t kvm_dev_ioctl
ffffffff810077f0 T __kvm_set_memory_region
ffffffff81007fe0 T kvm_set_memory_region
ffffffff81008020 t kvm_vm_ioctl
ffffffff81008700 t kvm_vm_compat_ioctl
ffffffff810087a0 T kvm_largepages_enabled
ffffffff810087b0 T kvm_host_page_size
ffffffff81008840 T gfn_to_hva_prot
ffffffff810088d0 T kvm_read_guest_page
ffffffff81008920 T kvm_read_guest
ffffffff810089b0 T kvm_read_guest_cached
ffffffff81008a50 T kvm_read_guest_atomic
ffffffff81008ac0 T gfn_to_pfn_memslot
ffffffff81008ae0 T kvm_write_guest
ffffffff81008b70 T kvm_write_guest_cached
ffffffff81008c40 T kvm_device_from_filp
ffffffff81008c70 T kvm_io_bus_write_cookie
ffffffff81008d30 T kvm_io_bus_read
ffffffff81008e20 T kvm_io_bus_register_dev
ffffffff81008f30 T kvm_io_bus_unregister_dev
ffffffff81009050 t kvm_rtc_eoi_tracking_restore_all
ffffffff81009100 t rtc_status_pending_eoi_check_valid
ffffffff81009140 t __rtc_irq_eoi_tracking_restore_one
ffffffff810091e0 t ioapic_service
ffffffff81009300 t ioapic_set_irq
ffffffff81009410 t update_handled_vectors
ffffffff81009490 t ioapic_mmio_write
ffffffff810096a0 t ioapic_mmio_read
ffffffff81009830 T kvm_rtc_eoi_tracking_restore_one
ffffffff81009870 T kvm_ioapic_scan_entry
ffffffff81009960 T kvm_vcpu_request_scan_ioapic
ffffffff81009980 T kvm_ioapic_set_irq
